trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
670294,16:30:00,16:30:00,5049,1,,,,1
670294,16:31:00,16:31:00,23509,2,,,,1
670294,16:33:00,16:33:00,5050,3,,,,1
670294,16:35:00,16:35:00,5042,4,,,,1
670294,16:36:00,16:36:00,5043,5,,,,1
670294,16:37:00,16:37:00,6248,6,,,,1
670294,16:40:00,16:40:00,5044,7,,,,1
670294,16:43:00,16:43:00,5045,8,,,,1
670294,16:44:00,16:44:00,6854,9,,,,1
670294,16:50:00,16:50:00,5046,10,,,,1
670294,16:57:00,16:57:00,5047,11,,,,1
670294,17:00:00,17:00:00,5048,12,,,,1
670294,17:05:00,17:05:00,132600,13,,,,1
670294,17:06:00,17:06:00,5049,14,,,,1
670295,17:10:00,17:10:00,5049,1,,,,1
670295,17:11:00,17:11:00,23509,2,,,,1
670295,17:13:00,17:13:00,5050,3,,,,1
670295,17:15:00,17:15:00,5042,4,,,,1
670295,17:16:00,17:16:00,5043,5,,,,1
670295,17:17:00,17:17:00,6248,6,,,,1
670295,17:20:00,17:20:00,5044,7,,,,1
670295,17:23:00,17:23:00,5045,8,,,,1
670295,17:24:00,17:24:00,6854,9,,,,1
670295,17:30:00,17:30:00,5046,10,,,,1
670295,17:37:00,17:37:00,5047,11,,,,1
670295,17:40:00,17:40:00,5048,12,,,,1
670295,17:45:00,17:45:00,132600,13,,,,1
670295,17:46:00,17:46:00,5049,14,,,,1
670296,17:50:00,17:50:00,5049,1,,,,1
670296,17:51:00,17:51:00,23509,2,,,,1
670296,17:53:00,17:53:00,5050,3,,,,1
670296,17:55:00,17:55:00,5042,4,,,,1
670296,17:56:00,17:56:00,5043,5,,,,1
670296,17:57:00,17:57:00,6248,6,,,,1
670296,18:00:00,18:00:00,5044,7,,,,1
670296,18:03:00,18:03:00,5045,8,,,,1
670296,18:04:00,18:04:00,6854,9,,,,1
670296,18:10:00,18:10:00,5046,10,,,,1
670296,18:17:00,18:17:00,5047,11,,,,1
670296,18:20:00,18:20:00,5048,12,,,,1
670296,18:25:00,18:25:00,132600,13,,,,1
670296,18:26:00,18:26:00,5049,14,,,,1
670297,18:30:00,18:30:00,5049,1,,,,1
670297,18:31:00,18:31:00,23509,2,,,,1
670297,18:33:00,18:33:00,5050,3,,,,1
670297,18:35:00,18:35:00,5042,4,,,,1
670297,18:36:00,18:36:00,5043,5,,,,1
670297,18:37:00,18:37:00,6248,6,,,,1
670297,18:40:00,18:40:00,5044,7,,,,1
670297,18:43:00,18:43:00,5045,8,,,,1
670297,18:44:00,18:44:00,6854,9,,,,1
670297,18:50:00,18:50:00,5046,10,,,,1
670297,18:57:00,18:57:00,5047,11,,,,1
670297,19:00:00,19:00:00,5048,12,,,,1
