trip_id,stop_id,actual_arrival_time_epoch,pred_actual_diff_arrival
790,6248,1709732880,00:29:37
790,5044,1709733000,00:28:11
790,5049,1709734200,00:23:04
790,23509,1709734260,00:24:28
790,5050,1709734380,00:23:12
790,5042,1709734440,00:23:29
790,5043,1709734560,00:23:06
790,6248,1709734680,00:22:02
790,5044,1709734800,00:20:37
2235,58343,1709732400,00:38:12
2235,63189,1709732460,00:38:19
2235,5039,1709732520,00:38:19
2235,5040,1709732580,00:38:47
2235,5041,1709732760,00:36:21
2235,5042,1709732940,00:35:16
2235,5049,1709733600,00:27:58
2235,23509,1709733660,00:30:05
2235,5050,1709733720,00:30:07
2235,58344,1709733960,00:26:47
2235,5054,1709734020,00:27:16
2235,23930,1709734080,00:27:48
2235,63190,1709734140,00:27:37
2235,58343,1709734800,00:26:02
2235,63189,1709734860,00:29:44
2235,5039,1709734920,00:24:42
2235,5040,1709734980,00:27:05
2235,5041,1709735160,00:24:39
2235,5042,1709735340,00:23:34
2235,5049,1709736000,00:12:14
2235,23509,1709736060,00:14:21
2235,5050,1709736120,00:16:19
2235,58344,1709736360,00:12:59
2235,5054,1709736420,00:10:07
2235,23930,1709736480,00:10:39
2235,63190,1709736540,00:10:28
2235,23509,1709732460,00:38:21
2235,5050,1709732520,00:38:27
2235,58344,1709732760,00:35:06
2235,5054,1709732820,00:35:47
2235,23930,1709732880,00:36:23
2235,63190,1709732940,00:36:22
2235,58343,1709733600,00:38:28
2235,63189,1709733660,00:38:33
2235,5039,1709733720,00:38:40
2235,5040,1709733780,00:39:18
2235,5041,1709733960,00:36:56
2235,5042,1709734140,00:35:44
2235,5049,1709734800,00:29:03
2235,23509,1709734860,00:25:22
2235,5050,1709734920,00:25:28
2235,58344,1709735160,00:22:07
2235,5054,1709735220,00:22:48
2235,23930,1709735280,00:24:39
2235,63190,1709735340,00:20:36
778,5036,1709733120,00:27:39
778,58343,1709733600,00:55:16
778,63189,1709733660,00:55:01
778,5039,1709733720,00:55:06
778,5040,1709733960,00:49:27
778,5041,1709734140,00:47:06
778,5042,1709734380,00:45:29
778,5043,1709734560,00:44:04
778,6248,1709734680,00:43:07
778,5044,1709734800,00:39:21
778,5045,1709735100,00:34:47
778,6854,1709735220,00:34:03
778,5036,1709735520,00:24:09
790,5049,1709735400,00:22:58
790,23509,1709735460,00:25:03
790,5050,1709735580,00:19:20
790,5042,1709735640,00:19:30
790,5043,1709735760,00:19:07
790,6248,1709735880,00:18:03
790,5044,1709736000,00:16:38
778,58343,1709736000,00:19:47
778,63189,1709736120,00:16:40
778,5039,1709736180,00:16:45
778,5040,1709736360,00:15:16
778,5041,1709736540,00:12:53
778,5042,1709736780,00:13:34
778,5043,1709736960,00:12:07
778,6248,1709737080,00:08:00
778,5044,1709737200,00:06:42
778,5045,1709737500,00:05:04
778,6854,1709737620,00:01:17
778,5036,1709737920,00:08:46
2235,63189,1709736060,00:28:45
2235,5039,1709736120,00:30:14
2235,5040,1709736180,00:30:41
2235,5041,1709736360,00:28:14
2235,5042,1709736540,00:23:02
2235,5049,1709737200,00:11:53
2235,23509,1709737260,00:15:38
2235,5050,1709737320,00:15:30
2235,58344,1709737560,00:09:02
2235,5054,1709737620,00:09:22
2235,23930,1709737680,00:09:48
2235,63190,1709737740,00:09:41
2235,58343,1709736000,00:30:23
790,5049,1709736600,00:34:59
790,23509,1709736660,00:32:46
790,5050,1709736780,00:30:50
790,5042,1709736840,00:30:58
790,5043,1709736960,00:30:30
790,6248,1709737080,00:29:32
790,5044,1709737200,00:28:06
2235,58343,1709737200,00:19:54
2235,63189,1709737260,00:22:33
2235,5039,1709737320,00:24:55
2235,5040,1709737380,00:22:03
2235,5041,1709737560,00:19:45
2235,5042,1709737740,00:18:39
2235,5049,1709738400,00:08:07
2235,23509,1709738460,00:09:58
2235,5050,1709738520,00:09:47
2235,58344,1709738760,00:03:12
2235,5054,1709738820,00:03:36
2235,23930,1709738880,00:04:02
2235,63190,1709738940,00:03:56
790,5049,1709736900,00:20:42
790,23509,1709737020,00:14:35
790,5050,1709737080,00:14:09
790,5042,1709737260,00:12:13
790,5043,1709737380,00:02:58
790,6248,1709737440,00:03:29
790,5044,1709737500,00:00:48
778,58343,1709738400,00:21:18
778,63189,1709738460,00:18:44
778,5039,1709738520,00:18:49
778,5040,1709738760,00:16:16
778,5041,1709738940,00:09:17
778,5042,1709739180,00:07:17
778,5043,1709739360,00:05:46
778,6248,1709739600,00:01:42
778,5044,1709739720,00:03:02
778,5045,1709739900,00:02:08
778,6854,1709740020,00:02:17
778,5036,1709740320,00:04:58
790,5049,1709738100,00:18:46
790,23509,1709738160,00:19:50
790,5050,1709738280,00:18:26
790,5042,1709738340,00:18:36
790,5043,1709738460,00:17:54
790,6248,1709738580,00:16:42
790,5044,1709738700,00:15:16
790,5049,1709737800,00:22:19
790,23509,1709737860,00:23:43
790,5050,1709737980,00:22:24
790,5042,1709738040,00:22:32
790,5043,1709738160,00:22:03
790,6248,1709738280,00:04:05
790,5044,1709738400,00:02:36
2235,58343,1709738400,00:21:44
2235,63189,1709738460,00:25:34
2235,5039,1709738520,00:25:37
2235,5040,1709738580,00:25:57
2235,5041,1709738760,00:17:20
2235,5042,1709738940,00:16:10
2235,5049,1709739600,00:02:55
2235,23509,1709739660,00:04:30
2235,5050,1709739720,00:04:14
2235,58344,1709739960,00:00:48
2235,5054,1709740020,00:01:16
2235,23930,1709740080,00:01:38
2235,63190,1709740140,00:01:28
790,5049,1709739000,00:21:59
790,23509,1709739060,00:14:53
790,5050,1709739180,00:13:34
790,5042,1709739240,00:13:41
790,5043,1709739360,00:13:12
790,6248,1709739480,00:12:14
790,5044,1709739600,00:10:52
2235,58343,1709739600,00:15:54
2235,63189,1709739660,00:23:50
2235,5039,1709739720,00:23:54
2235,5040,1709739780,00:24:21
2235,5041,1709739960,00:22:03
2235,5042,1709740140,00:11:08
2235,5049,1709740500,00:13:16
2235,23509,1709740560,00:14:59
2235,5050,1709740620,00:14:48
2235,58344,1709740800,00:12:34
2235,5054,1709740860,00:12:52
2235,23930,1709740920,00:13:21
2235,63190,1709740980,00:13:14
790,5049,1709739600,00:17:15
790,23509,1709739660,00:18:19
790,5050,1709739780,00:16:56
790,5042,1709739840,00:17:06
790,5043,1709739900,00:01:47
790,6248,1709740020,00:00:34
790,5044,1709740200,00:01:50
