route_id,stop_id,hour,pred_actual_diff_arrival,prediction_tendency
2235,63189,13,00:15:42,Later
2235,5039,13,00:01:31,Later
2235,5040,13,23:42:53,Later
2235,5041,13,23:31:38,Later
2235,58343,14,00:27:50,Later
2235,63189,14,00:29:14,Later
2235,5039,14,00:28:54,Later
2235,5040,14,00:28:31,Later
2235,5041,14,00:26:25,Later
2235,5042,14,00:25:04,Later
2235,23930,14,08:28:41,Later
2235,63190,14,08:15:53,Later
2235,5049,15,00:14:47,Later
2235,5049,14,00:24:39,Later
2235,23509,14,00:24:46,Later
2235,5050,14,00:23:38,Later
2235,58344,14,09:18:28,Later
2235,5054,14,09:08:30,Later
790,5049,14,00:42:15,Later
790,23509,14,00:41:02,Later
790,5050,14,00:38:41,Later
790,5042,14,00:37:45,Later
790,5043,14,00:31:41,Later
790,6248,14,00:30:30,Later
790,5044,14,03:55:05,Later
2235,23509,15,00:10:57,Later
2235,5050,15,00:10:48,Later
2235,58344,15,00:10:29,Later
790,5044,15,00:11:18,Later
2235,5054,15,00:09:45,Later
2235,23930,15,00:09:30,Later
2235,63190,15,00:08:59,Later
2235,63189,15,00:23:32,Later
2235,5039,15,00:23:25,Later
2235,5040,15,00:22:43,Later
2235,5041,15,00:19:54,Later
2235,5042,15,00:18:04,Later
2235,58343,15,00:20:08,Later
790,5049,15,00:18:49,Later
790,23509,15,00:18:58,Later
790,5050,15,00:17:29,Later
790,5042,15,00:16:49,Later
790,5043,15,00:16:19,Later
790,6248,15,00:13:17,Later
778,58343,15,00:19:52,Later
778,5044,15,00:25:57,Later
778,5045,15,00:21:50,Later
778,6854,15,00:19:59,Later
778,5036,15,00:15:03,Later
778,63189,15,00:28:21,Later
778,5039,15,00:27:38,Later
778,5040,15,00:27:35,Later
778,5041,15,00:27:16,Later
778,5042,15,00:25:02,Later
778,5043,15,00:23:25,Later
778,6248,15,00:22:42,Later
778,5044,16,00:17:55,Later
778,5045,16,00:16:54,Later
778,6854,16,00:16:04,Later
778,5036,16,00:14:46,Later
2235,58343,16,00:23:10,Later
2235,63189,16,00:22:55,Later
2235,5039,16,00:22:46,Later
2235,5040,16,00:22:15,Later
790,5044,16,00:11:53,Later
2235,5041,16,00:20:57,Later
2235,5042,16,00:19:39,Later
2235,5049,16,00:17:56,Later
2235,23509,16,00:17:31,Later
2235,5050,16,00:16:58,Later
2235,58344,16,00:16:11,Later
2235,5054,16,00:15:43,Later
2235,23930,16,00:14:29,Later
2235,63190,16,00:14:19,Later
790,5049,16,00:15:09,Later
790,23509,16,00:14:08,Later
790,5050,16,00:12:14,Later
790,5042,16,00:15:07,Later
790,5043,16,00:14:22,Later
790,6248,16,00:12:57,Later
778,58343,16,00:30:37,Later
778,63189,16,00:30:54,Later
778,5039,16,00:30:48,Later
778,5040,16,00:28:01,Later
778,5041,16,00:26:05,Later
778,5042,16,00:24:25,Later
778,5043,16,00:23:23,Later
778,6248,16,00:22:40,Later
2235,58344,17,00:12:09,Later
2235,5054,17,00:07:52,Later
2235,23930,17,00:08:05,Later
2235,63190,17,00:07:59,Later
778,5044,17,00:20:46,Later
778,5045,17,00:17:58,Later
778,6854,17,00:14:52,Later
778,5036,17,00:11:41,Later
778,58343,17,00:28:54,Later
778,63189,17,00:31:31,Later
778,5039,17,00:30:35,Later
778,5040,17,00:26:19,Later
